Code,Name,TIB Core,German Description,English Description
00,Unspezifische Allgemeinwörter,True,"'Unspezifische Allgemeinwörter' bezeichnen Wörter oder Begriffe, die sehr allgemein und weit gefasst sind und keine präzise oder konkrete Bedeutung haben. Sie werden oft verwendet, um eine vage oder unbestimmte Aussage zu treffen, ohne spezifische Details zu liefern. Beispiele hierfür sind Wörter wie ""Ding"", ""Sache"" oder ""Zeug"".","'Unspezifische Allgemeinwörter' (non-specific general words) refer to words or terms that are very broad and general, lacking precise or concrete meaning. They are often used to make vague or indefinite statements without providing specific details. Examples include words like ""thing,"" ""stuff,"" or ""item."""
1,"Allgemeines, Interdisziplinäre Allgemeinwörter",True,"'Allgemeines, Interdisziplinäre Allgemeinwörter' bezieht sich auf grundlegendes Wissen und Begriffe, die über verschiedene Disziplinen hinweg relevant sind. Es umfasst allgemeine Konzepte, Terminologien und Zusammenhänge, die in unterschiedlichen Fachgebieten Anwendung finden und ein breites Verständnis fördern.","'General, Interdisciplinary General Knowledge' refers to fundamental knowledge and terms that are relevant across various disciplines. It encompasses general concepts, terminologies, and connections that are applicable in different fields of study, promoting a broad understanding."
2.1,"Schrift, Handschriftenkunde",False,"'Schrift, Handschriftenkunde' ist ein Fachgebiet, das sich mit der Erforschung und Analyse von handschriftlichen Dokumenten beschäftigt. Es umfasst die Untersuchung von Schriftarten, Schreibtechniken, Materialien sowie die historische und kulturelle Einordnung von Manuskripten. Die Handschriftenkunde spielt eine wichtige Rolle in der Geschichtswissenschaft, Philologie und Kunstgeschichte, da sie Aufschluss über die Entstehung, Verbreitung und Bedeutung von Texten gibt.","'Schrift, Handschriftenkunde' (Paleography and Manuscript Studies) is an academic discipline focused on the study and analysis of handwritten documents. It involves the examination of scripts, writing techniques, materials, and the historical and cultural context of manuscripts. This field is essential in historical research, philology, and art history, as it provides insights into the creation, dissemination, and significance of texts."
2.2,"Buchwissenschaft, Buchhandel",False,"Buchwissenschaft und Buchhandel sind interdisziplinäre Fachgebiete, die sich mit der Erforschung, Produktion, Verbreitung und Rezeption von Büchern und anderen Medien beschäftigen. Die Buchwissenschaft untersucht historische, kulturelle und technologische Aspekte des Buchwesens, während der Buchhandel die wirtschaftlichen und praktischen Seiten des Vertriebs und der Vermarktung von Büchern behandelt. Beide Bereiche umfassen auch die Analyse von Verlagswesen, Schriftkultur und Leseverhalten.","Book studies and book trade are interdisciplinary fields that focus on the research, production, distribution, and reception of books and other media. Book studies explore historical, cultural, and technological aspects of the book as a medium, while the book trade deals with the economic and practical sides of book distribution and marketing. Both areas also include the analysis of publishing, written culture, and reading habits."
2.3,Presse,False,"Das Fach 'Presse' befasst sich mit der Erforschung und Analyse von Printmedien, deren Rolle in der Gesellschaft, ihrer historischen Entwicklung sowie ihrer Funktion in der Informationsverbreitung und Meinungsbildung. Es umfasst auch die praktische Arbeit im Journalismus, einschließlich Recherche, Schreiben und Gestaltung von Presseerzeugnissen.","The subject 'Press' deals with the study and analysis of print media, their role in society, their historical development, and their function in information dissemination and opinion formation. It also includes practical work in journalism, encompassing research, writing, and the design of press publications."
3.1,"Allgemeine und vergleichende Religionswissenschaft, Nichtchristliche Religionen",False,"""Allgemeine und vergleichende Religionswissenschaft, Nichtchristliche Religionen"" ist ein akademisches Fach, das sich mit der systematischen und vergleichenden Erforschung von Religionen weltweit beschäftigt, mit einem besonderen Fokus auf nichtchristliche Religionen. Es untersucht deren Entstehung, Entwicklung, Lehren, Praktiken und kulturelle Einflüsse. Das Fach kombiniert historische, anthropologische, soziologische und philologische Ansätze, um ein umfassendes Verständnis religiöser Phänomene zu ermöglichen.","""General and Comparative Religious Studies, Non-Christian Religions"" is an academic discipline that focuses on the systematic and comparative study of religions worldwide, with a particular emphasis on non-Christian religions. It explores their origins, development, teachings, practices, and cultural impacts. The field integrates historical, anthropological, sociological, and philological approaches to provide a comprehensive understanding of religious phenomena."
3.1p,Personen zu allgemeiner und vergleichender Religionswissenschaft,False,"Das Fach ""Personen zu allgemeiner und vergleichender Religionswissenschaft"" befasst sich mit der Erforschung bedeutender Persönlichkeiten, die einen prägenden Einfluss auf die Entwicklung der allgemeinen und vergleichenden Religionswissenschaft hatten. Es untersucht ihre Theorien, Methoden und Beiträge zum Verständnis religiöser Phänomene im globalen und historischen Kontext.","The subject ""Figures in General and Comparative Religious Studies"" focuses on the study of significant individuals who have had a formative influence on the development of general and comparative religious studies. It explores their theories, methods, and contributions to understanding religious phenomena in a global and historical context."
3.2,Bibel,False,"Die Bibel ist die heilige Schrift des Christentums und besteht aus dem Alten und dem Neuen Testament. Sie enthält eine Sammlung von religiösen Texten, die als Gottes Wort angesehen werden, und umfasst Geschichten, Lehren, Prophezeiungen, Psalmen und Briefe. Die Bibel hat einen zentralen Einfluss auf Glauben, Kultur und Geschichte der westlichen Welt.","The Bible is the holy scripture of Christianity and is composed of the Old and New Testaments. It contains a collection of religious texts regarded as the Word of God, encompassing stories, teachings, prophecies, psalms, and letters. The Bible has had a profound influence on the faith, culture, and history of the Western world."
3.2a,Altes Testament,False,"Das Alte Testament, auch als Hebräische Bibel bekannt, ist der erste Teil der christlichen Bibel und umfasst religiöse Schriften des Judentums. Es besteht aus verschiedenen Büchern, darunter die Tora (Gesetz), die Propheten und die Schriften. Diese Texte behandeln Themen wie Schöpfung, Geschichte, Gesetze, Weisheit und Prophetie und gelten als grundlegend für das Verständnis des jüdischen und christlichen Glaubens.","The Old Testament, also known as the Hebrew Bible, is the first part of the Christian Bible and comprises the religious scriptures of Judaism. It includes various books, such as the Torah (Law), the Prophets, and the Writings. These texts address themes like creation, history, laws, wisdom, and prophecy, and are considered foundational for understanding both Jewish and Christian faiths."
3.2b,Neues Testament,False,"Das 'Neues Testament' ist der zweite Teil der christlichen Bibel und umfasst 27 Schriften, darunter die vier Evangelien, die Apostelgeschichte, Briefe und die Offenbarung des Johannes. Es beschreibt das Leben und die Lehren Jesu Christi, die Entstehung der frühen Kirche und die theologische Bedeutung seines Wirkens für die Gläubigen.","The 'New Testament' is the second part of the Christian Bible and consists of 27 writings, including the four Gospels, the Acts of the Apostles, letters, and the Book of Revelation. It describes the life and teachings of Jesus Christ, the establishment of the early Church, and the theological significance of his work for believers."
3.3,Kirchengeschichte,False,"Kirchengeschichte ist das wissenschaftliche Fach, das sich mit der Geschichte des Christentums und der christlichen Kirchen von ihren Anfängen bis zur Gegenwart beschäftigt. Es untersucht die Entwicklung von Lehren, Institutionen, Praktiken und die Rolle der Kirche in der Gesellschaft sowie ihre Wechselwirkungen mit politischen, kulturellen und sozialen Entwicklungen.","Church History is the academic discipline that studies the history of Christianity and Christian churches from their origins to the present day. It explores the development of doctrines, institutions, practices, and the role of the church in society, as well as its interactions with political, cultural, and social developments."
3.3a,Kirchengeschichte: Antike,False,"""Kirchengeschichte: Antike"" beschäftigt sich mit der Entwicklung des Christentums in der antiken Welt, von seinen Anfängen im 1. Jahrhundert n. Chr. bis zum Ende der Spätantike im 6. Jahrhundert. Dabei werden zentrale Themen wie die Ausbreitung des Christentums, die Entstehung kirchlicher Strukturen, theologische Debatten, die Rolle der Kirchenväter und das Verhältnis zwischen Kirche und Staat untersucht. Besondere Aufmerksamkeit gilt auch den ökumenischen Konzilien, der Herausbildung der christlichen Lehre sowie der Wechselwirkung zwischen Christentum und antiker Kultur.","""Church History: Antiquity"" explores the development of Christianity in the ancient world, from its origins in the 1st century CE to the end of late antiquity in the 6th century. Key topics include the spread of Christianity, the emergence of church structures, theological debates, the role of the Church Fathers, and the relationship between church and state. Special attention is given to the ecumenical councils, the formation of Christian doctrine, and the interaction between Christianity and ancient culture."
